5511.002276664	422261517689169	0.0028728	0.01
15457.000640061	7808057239592.06	0.00912449	0.122726
27433.939406344	1381210730104.08	0.01747601	0.313083
32671.532844937	521494282429.81	0.0214509	0.659835
45737.348181548	224778325302.931	0.03310722	0.775967
52698.541743688	142309810288.964	0.04105153	0.850081
51010.540328028	163176507439.641	0.03915229	0.767174
46481.072530957	181169167061.438	0.03378744	0.897114
51182.608531234	150523599528.307	0.03812766	0.943592
53032.451806259	152542928220.661	0.03950027	0.888453
397.817143733333	1.90848761993401		
0.272	0.24		
