58330.830006862	206648970055.495	0.03938394	0.771937
58015.388588617	231569264913.359	0.03587129	0.871142
60348.151684306	197300375839.951	0.03761081	0.961986
55483.976968513	241224419088.036	0.03386869	0.893793
50809.783814712	275488406384.075	0.03104042	0.86045
56828.282906523	206761011090.678	0.03528613	0.951386
62337.113701067	201794172784.439	0.03826954	0.931587
62899.959125262	158125453407.2	0.04185398	0.962679
57073.753149704	183625132414.64	0.03722097	0.982438
61712.335315994	158677801762.008	0.04129924	0.969123
554.440497883333	2.19521660492371		
0.287	0.308		
